date,price
01/01/2020,7194.89209
01/02/2020,7202.55127
01/03/2020,6984.42871
01/04/2020,7345.37549
01/05/2020,7410.45166
01/06/2020,7410.45215
01/07/2020,7768.68213
01/08/2020,8161.93555
01/09/2020,8082.2959
01/10/2020,7878.30762
01/11/2020,8162.19092
01/12/2020,8033.26172
01/13/2020,8189.77197
01/14/2020,8140.93311
01/15/2020,8825.34375
01/16/2020,8812.48145
01/17/2020,8725.20996
01/18/2020,8927.21191
01/19/2020,8941.44531
01/20/2020,8704.63184
01/21/2020,8658.99121
01/22/2020,8744.21094
01/23/2020,8680.65039
01/24/2020,8405.56738
01/25/2020,8440.11914
01/26/2020,8364.41016
01/27/2020,8597.30859
01/28/2020,8912.52441
01/29/2020,9357.4707
01/30/2020,9316.0166
01/31/2020,9508.31348
02/01/2020,9346.35742
02/02/2020,9389.82031
02/03/2020,9344.68359
02/04/2020,9292.8418
02/05/2020,9183.41602
02/06/2020,9617.82129
02/07/2020,9726.00293
02/08/2020,9793.07031
02/09/2020,9863.89453
02/10/2020,10115.55957
02/11/2020,9855.8916
02/12/2020,10202.3877
02/13/2020,10323.96094
02/14/2020,10211.55078
02/15/2020,10313.85645
02/16/2020,9889.17969
02/17/2020,9936.56055
02/18/2020,9691.23047
02/19/2020,10143.79883
02/20/2020,9629.3252
02/21/2020,9611.78223
02/22/2020,9687.70703
02/23/2020,9663.31836
02/24/2020,9921.58301
02/25/2020,9651.3125
02/26/2020,9338.29004
02/27/2020,8825.09375
02/28/2020,8788.72852
02/29/2020,8671.21289
03/01/2020,8599.75879
03/02/2020,8563.26465
03/03/2020,8865.3877
03/04/2020,8788.54199
03/05/2020,8760.28516
03/06/2020,9078.30859
03/07/2020,9121.60059
03/08/2020,8908.20606
03/09/2020,8111.14648
03/10/2020,7922.14697
03/11/2020,7910.08984
03/12/2020,7913.61621
03/13/2020,5017.83105
03/14/2020,5573.07764
03/15/2020,5201.0669
03/16/2020,5385.22949
03/17/2020,5002.57813
03/18/2020,5227.11377
03/19/2020,5245.4165
03/20/2020,6191.65381
03/21/2020,6206.52148
03/22/2020,6185.55811
03/23/2020,5831.37451
03/24/2020,6436.64258
03/25/2020,6738.7168
03/26/2020,6675.1709
03/27/2020,6719.38916
03/28/2020,6467.25391
03/29/2020,6245.62451
03/30/2020,5925.53857
03/31/2020,6430.60645
04/01/2020,6437.31934
04/02/2020,6606.77637
04/03/2020,6797.39648
04/04/2020,6738.38281
04/05/2020,6862.5376
04/06/2020,6788.04981
04/07/2020,7273.64404
04/08/2020,7179.2832
04/09/2020,7337.96631
04/10/2020,7303.81543
04/11/2020,6867.44043
04/12/2020,6858.06787
04/13/2020,6965.6167
04/14/2020,6843.28174
04/15/2020,6845.56152
04/16/2020,6640.4541
